id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,market_cap_dominance,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,platform_currency,first_priced_at
ICP,ICP,ICP,Dfinity,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ICP.jpg,active,8.13034051,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,249767024,487468887,2030690955,0.0018,70,124,0,2021-01-30T00:00:00Z,2021-05-06T00:00:00Z,2021-01-30T00:00:00Z,37,0,455.02199995,2021-05-05T00:00:00Z,615196514.16,0.098394507,0.0123,-257424821.51,-0.2950,24663469.70,0.0123,,2021-03-24T00:11:30.852913Z
FLOW2,FLOW2,FLOW,Flow,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/FLOW2.jpg,active,1.89444162,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,1036200000,1390757889,1963020408,0.0018,51,90,0,2021-01-27T00:00:00Z,2021-01-27T00:00:00Z,2021-01-27T00:00:00Z,38,0,39.15221993,2021-03-04T00:00:00Z,65320235.89,0.036827446,0.0198,-62399502.85,-0.4886,38160599.54,0.0198,,2021-01-28T14:38:49.921753Z
MANA,MANA,MANA,Decentraland,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/mana.svg,active,0.99026551,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,1810778713,2193578527,1793151709,0.0016,187,455,3,2017-07-17T00:00:00Z,2017-07-17T00:00:00Z,2018-08-29T00:00:00Z,39,0,5.22240815,2021-11-25T00:00:00Z,338691113.90,0.037012053,0.0388,-58801371.53,-0.1479,67018146.81,0.0388,ETH,
SAND2,SAND2,SAND,The Sandbox,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/SAND2.svg,active,1.28625034,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,1284059808,3000000000,1651622363,0.0015,119,269,1,2020-08-09T00:00:00Z,2020-08-14T00:00:00Z,2020-08-11T00:00:00Z,40,0,7.58730943,2021-11-28T00:00:00Z,554270391.55,0.034847567,0.0278,-219648616.96,-0.2838,44746360.51,0.0278,ETH,
HBAR,HBAR,HBAR,Hedera Hashgraph,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/HBAR.jpg,active,0.071936814,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,22638651334,50000000000,1628552460,0.0015,54,100,0,2019-09-17T00:00:00Z,2019-09-17T00:00:00Z,2019-09-17T00:00:00Z,41,0,0.50530507,2021-09-15T00:00:00Z,62121443.09,0.0012515777,0.0177,-20487752.08,-0.2480,28334030.13,0.0177,,
XTZ,XTZ,XTZ,Tezos,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/xtz.svg,active,1.78018649,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,896223391,,1595444770,0.0014,137,471,228,2017-06-23T00:00:00Z,2017-06-23T00:00:00Z,2018-09-17T00:00:00Z,42,0,10.52752302,2017-12-17T00:00:00Z,53083840.69,0.089105340,0.0527,-22888666.58,-0.3013,80226018.57,0.0529,,
LDO,LDO,LDO,Lido DAO,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/LDO.png,active,2.72206659,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,530005334,1000000000,1442709810,0.0013,43,84,0,2021-01-05T00:00:00Z,2021-01-05T00:00:00Z,2021-01-06T00:00:00Z,43,8,6.40298061,2021-08-21T00:00:00Z,436909908.39,0.49086546,0.2200,135300167.58,0.4486,264717548.19,0.2247,ETH,2021-01-06T15:31:25.629792Z
CRI,CRI,CRI,Crypto International,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CRI.png,active,0.48673726,2022-08-04T00:00:00Z,2022-08-04T02:53:00Z,2963004063,10000020856,1442204470,0.0013,6,18,0,2021-11-14T00:00:00Z,2021-11-14T00:00:00Z,2021-11-14T00:00:00Z,44,0,0.61609454,2022-07-07T00:00:00Z,311807.54,0.0075239390,0.0157,-90888.92,-0.2257,22293461.76,0.0157,ETH,2022-03-10T23:23:42.193271Z
QNT,QNT,QNT,Quant,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/qnt.jpg,active,107.28903226,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,13413953,14612493,1439170086,0.0013,64,129,1,2018-06-25T00:00:00Z,2018-06-25T00:00:00Z,2019-01-29T00:00:00Z,45,0,395.22027584,2021-09-10T00:00:00Z,56474559.78,5.50385716,0.0541,-3515205.75,-0.0586,73828483.85,0.0541,ETH,
FRAX,FRAX,FRAX,Frax,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/FRAX.jpg,active,1.00081711,2022-08-04T00:00:00Z,2022-08-04T02:53:00Z,1425995664,1425995664,1427160858,0.0013,19,130,7,2020-12-16T00:00:00Z,2020-12-16T00:00:00Z,2020-12-21T00:00:00Z,46,-3,3.22284391,2020-12-17T00:00:00Z,18208881.77,0.0040970296,0.0041,-1315470.25,-0.0674,-34089511.51,-0.0233,ETH,2020-12-22T19:46:11.961151Z
THETA,THETA,THETA,Theta Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/theta.png,active,1.41490689,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,1000000000,1000000000,1414906890,0.0013,68,162,0,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z,2018-08-29T00:00:00Z,47,-1,14.33793445,2021-04-16T00:00:00Z,206464392.53,0.074164521,0.0553,-105046492.86,-0.3372,74164520.94,0.0553,THETA,
AAVE,AAVE,AAVE,Aave,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AAVE.jpg,active,97.50872964,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,13980258,16000000,1363197203,0.0012,165,761,13,2018-11-26T00:00:00Z,2020-10-02T00:00:00Z,2020-10-04T00:00:00Z,48,-1,629.00605098,2021-05-18T00:00:00Z,296446112.80,4.69162730,0.0505,-39351542.66,-0.1172,65687224.46,0.0506,ETH,
EGLD,EGLD,EGLD,Elrond,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/EGLD.jpeg,active,58.21565027,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,22767430,24097430,1325420742,0.0012,59,111,14,2020-09-02T00:00:00Z,2020-09-03T00:00:00Z,2020-09-03T00:00:00Z,49,-1,492.59473630,2021-11-22T00:00:00Z,61187908.94,2.49654953,0.0448,-34686473.38,-0.3618,57099611.87,0.0450,,
AXS2,AXS2,AXS,Axie Infinity,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AXS2.jpg,active,17.55131855,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,71046952,270000000,1246967678,0.0011,120,260,3,2018-12-12T00:00:00Z,2020-11-04T00:00:00Z,2020-11-04T00:00:00Z,50,-1,160.73738896,2021-11-07T00:00:00Z,337402458.07,0.64621784,0.0382,-8743679.51,-0.0253,45911807.33,0.0382,ETH,2020-11-09T16:49:37.895041Z
EOS,EOS,EOS,EOS,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/eos.svg,active,1.19711381,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,1003561021,,1201376754,0.0011,239,1719,138,2017-06-23T00:00:00Z,2017-06-23T00:00:00Z,2018-08-29T00:00:00Z,51,1,20.87934749,2018-04-29T00:00:00Z,396070780.37,0.028195788,0.0241,-300652171.98,-0.4315,28429297.25,0.0242,EOS,
TUSD,TUSD,TUSD,TrueUSD,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/tusd.svg,active,1.00044994,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,1198190112,1198190112,1198729231,0.0011,135,867,65,2018-03-06T00:00:00Z,2018-03-06T00:00:00Z,2018-08-29T00:00:00Z,52,-2,1.08791066,2018-05-21T00:00:00Z,328906122.94,0.00062526236,0.0006,-104633658.70,-0.2413,7081980.00,0.0059,ETH,
BSV,BSV,BSV,Bitcoin SV,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BSV.png,active,61.11968670,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,19132327,21000000,1169361810,0.0011,147,734,135,2017-07-09T00:00:00Z,2018-11-08T00:00:00Z,2018-11-13T00:00:00Z,53,0,441.01031808,2021-04-16T00:00:00Z,57048504.06,0.92424078,0.0154,-40602230.75,-0.4158,17740062.12,0.0154,,
1INCH,1INCH,1INCH,1inch,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/1INCH.jpg,active,0.79429962,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,1464561639,1500000000,1163300750,0.0010,120,351,4,2018-12-17T00:00:00Z,2020-12-25T00:00:00Z,2019-02-14T00:00:00Z,54,0,7.50445200,2021-05-08T00:00:00Z,124949812.04,0.060465930,0.0824,25568724.53,0.2573,88556081.11,0.0824,ETH,2020-12-28T18:53:34.959468Z
HELIUM,HELIUM,HNT,Helium,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/HELIUM.jpeg,active,8.69634956,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,124677628,,1084240235,0.0010,30,54,0,2020-04-17T00:00:00Z,2020-09-15T00:00:00Z,2020-04-17T00:00:00Z,55,0,52.77577424,2021-11-14T00:00:00Z,17099142.46,0.14779773,0.0173,-2918507.42,-0.1458,18840209.62,0.0177,,
CUSDC,CUSDC,CUSDC,Compound USD Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CUSDC.png,active,0.022632746,2022-08-04T00:00:00Z,2022-08-04T02:53:00Z,44379737993,44379737993,1004435337,0.0009,9,83,0,2019-09-22T00:00:00Z,2020-04-02T00:00:00Z,2020-04-09T00:00:00Z,56,0,0.95915556,2019-11-26T00:00:00Z,11815986.78,0.000014076871,0.0006,-200012.07,-0.0166,-1510049.87,-0.0015,ETH,
KCS,KCS,KCS,KuCoin Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/kcs.jpg,active,10.11797054,2022-08-04T00:00:00Z,2022-08-04T02:53:00Z,97784597,145284597,989381669,0.0009,18,120,4676,2017-09-17T00:00:00Z,2020-03-26T00:00:00Z,2019-06-04T00:00:00Z,57,0,27.61556150,2021-12-01T00:00:00Z,2673784.16,0.24977965,0.0253,-508038.28,-0.1597,24424602.03,0.0253,ETH,
OMI,OMI,OMI,ECOMI,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/OMI.png,active,0.0016690755,2022-08-04T00:00:00Z,2022-08-04T02:53:00Z,581910045187,750000000000,971251794,0.0009,5,8,0,2019-10-01T00:00:00Z,2021-03-23T00:00:00Z,2020-02-14T00:00:00Z,58,0,0.013122054,2021-03-19T00:00:00Z,315589.29,0.000019548951,0.0119,-86455.23,-0.2150,11375730.78,0.0119,GO,2021-02-02T14:53:17.269368Z
MKR,MKR,MKR,Maker,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/MKR.svg,active,1063.96178258,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,901311,977631,958960402,0.0009,175,779,15,2017-12-21T00:00:00Z,2017-12-21T00:00:00Z,2018-09-07T00:00:00Z,59,0,5989.09431329,2021-05-03T00:00:00Z,125425646.36,35.79625152,0.0348,-35516516.53,-0.2207,32263553.37,0.0348,ETH,
BTT2,BTT2,BTT,BitTorrent V2,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BTT2.png,active,0.00000098002149,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,937418500000000,990000000000000,918690280,0.0008,46,72,7,2019-01-31T00:00:00Z,2019-02-08T00:00:00Z,2019-02-14T00:00:00Z,60,0,0.010843928,2021-04-06T00:00:00Z,58213380.01,-0.0000000028305335,-0.0029,-21604350.85,-0.2707,-2653394.45,-0.0029,TRX,2021-12-22T22:21:23.096382Z
SNX,SNX,SNX,Synthetix Network Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/SNX.png,active,3.92091048,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,231906521,288213318,909284708,0.0008,150,1103,16,2018-03-15T00:00:00Z,2018-03-15T00:00:00Z,2019-05-15T00:00:00Z,61,1,27.15917775,2021-02-12T00:00:00Z,239591234.56,0.14355443,0.0380,-96749711.36,-0.2877,36175749.95,0.0414,ETH,
GRT,GRT,GRT,The Graph,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/GRT.jpg,active,0.12277221,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,7400273157,10000000000,908547924,0.0008,133,296,0,2020-05-23T00:00:00Z,2020-12-17T00:00:00Z,2020-05-23T00:00:00Z,62,2,2.34093454,2021-02-13T00:00:00Z,106961415.54,0.0056822758,0.0485,-56323791.77,-0.3449,42050393.37,0.0485,ETH,
IOT,IOT,IOT,IOTA (MIOTA),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/iot.svg,active,0.32517906,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,2779530283,2779530283,903845041,0.0008,41,116,0,2017-06-12T00:00:00Z,2017-06-12T00:00:00Z,2018-08-29T00:00:00Z,63,-2,5.37680344,2017-12-19T00:00:00Z,17347480.80,0.0075360058,0.0237,-6060857.59,-0.2589,20946556.39,0.0237,,
FTM,FTM,FTM,Fantom,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ftm.png,active,0.35384943,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,2541152731,3175000000,899185439,0.0008,151,1266,21322,2018-10-28T00:00:00Z,2018-10-29T00:00:00Z,2019-06-04T00:00:00Z,64,3,3.31080892,2022-01-16T00:00:00Z,530703529.82,0.028953739,0.0891,-48458875.31,-0.0837,73575873.03,0.0891,FTM,
KLAY,KLAY,KLAY,Klaytn,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/KLAY.jpg,active,0.29555290,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,2964193109,,876075867,0.0008,54,92,0,2019-09-26T00:00:00Z,2020-03-02T00:00:00Z,2020-02-21T00:00:00Z,65,1,4.22050699,2021-03-30T00:00:00Z,37558962.34,0.0084477164,0.0294,-9296308.61,-0.1984,25116029.17,0.0295,KLAY,
PAX,PAX,USDP,Pax Dollar,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/pax.png,active,0.99812427,2022-08-04T00:00:00Z,2022-08-04T02:53:00Z,868853164,868853164,867223429,0.0008,112,629,20,2018-09-27T00:00:00Z,2018-09-27T00:00:00Z,2018-09-29T00:00:00Z,66,-1,1.06127546,2021-10-13T00:00:00Z,3083821.54,0.0031744247,0.0032,-1850831.75,-0.3751,2811255.74,0.0033,ETH,
CETH,CETH,CETH,Compound Ether,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CETH.png,active,33.18469404,2022-08-04T00:00:00Z,2022-08-04T02:53:00Z,26003549,26003549,862919803,0.0008,4,40,0,2020-03-25T00:00:00Z,2020-06-27T00:00:00Z,2021-10-27T00:00:00Z,67,-4,96.49369533,2021-11-08T00:00:00Z,23943490.74,0.94469660,0.0293,20194709.45,5.3870,-6190174.80,-0.0071,ETH,
XEC,XEC,XEC,eCash,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/XEC.jpg,active,0.000043292402,2022-08-04T00:00:00Z,2022-08-04T02:54:00Z,19132348423303,21000000000000,828285325,0.0007,39,74,1,2020-09-24T00:00:00Z,2020-11-15T00:00:00Z,2020-11-15T00:00:00Z,68,0,0.00033372517,2021-09-04T00:00:00Z,9182630.45,0.0000011611609,0.0276,-5657309.08,-0.3812,22258919.04,0.0276,,2021-07-07T19:15:23.761148Z
